Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.001,2.689,0.311,2.294,1.899,1.637,0.721
TREFHT land_60S90N CRU,DegC,14.242,12.838,1.404,13.546,13.047,2.743,0.984
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.448,0.932,-0.484,55.818,55.936,11.665,0.978
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.437,-45.306,-3.13,17.424,20.04,14.082,0.74
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.248,25.809,-4.561,8.28,10.937,8.564,0.749
U-850mb global ERA-Interim,m s-1,0.772,1.096,-0.324,5.079,5.401,1.469,0.966
U-200mb global ERA-Interim,m s-1,16.694,15.686,1.007,11.276,12.316,4.1,0.947
Z3-500mb global ERA-Interim,hectometer,56.225,56.618,-0.393,2.444,2.575,0.475,0.996
PSL global ERA-Interim,mbar,1007.395,1011.303,-3.908,7.092,8.143,4.428,0.972
PSL global ERA5,mbar,1007.395,1011.392,-3.997,7.092,8.068,4.487,0.972
U-850mb global ERA5,m s-1,0.772,1.077,-0.306,5.079,5.415,1.525,0.963
U-200mb global ERA5,m s-1,16.694,15.654,1.04,11.276,12.247,4.071,0.947
Z3-500mb global ERA5,hectometer,56.225,56.608,-0.383,2.444,2.566,0.462,0.996
TREFHT land ERA-Interim,DegC,9.825,8.865,0.96,19.3,18.68,2.711,0.992
TREFHT global ERA-Interim,DegC,15.017,14.406,0.611,14.333,14.116,2.056,0.991
TREFHT land ERA5,DegC,9.825,8.811,1.014,19.3,18.843,3.021,0.989
TREFHT global ERA5,DegC,15.017,14.256,0.761,14.333,14.113,2.141,0.99
